tileswide 10
tileshigh 10
tilewidth 32
tileheight 32

layer 0
6,3,3,3,3,3,3,3,5,7,
6,3,3,3,3,3,3,2,0,0,
6,3,3,3,3,3,3,3,3,7,
8,4,4,2,0,1,3,3,3,7,
8,8,8,6,3,3,3,3,3,7,
3,3,3,3,3,3,3,2,0,0,
3,3,3,3,3,3,3,3,3,7,
3,3,3,3,3,2,0,0,1,7,
2,0,0,1,3,3,3,3,3,7,
4,4,4,4,4,4,4,4,4,4,

layer 1
9,-1,-1,-1,-1,-1,-1,-1,-1,9,
9,-1,-1,-1,-1,-1,-1,9,9,9,
9,-1,-1,-1,-1,-1,-1,-1,-1,9,
9,9,9,9,9,9,-1,-1,-1,9,
9,9,9,9,-1,-1,-1,-1,-1,9,
-1,-1,-1,-1,-1,-1,-1,9,9,9,
-1,-1,-1,-1,-1,-1,-1,-1,-1,9,
-1,-1,-1,-1,-1,9,9,9,9,9,
9,9,9,9,-1,-1,-1,-1,-1,9,
9,9,9,9,9,9,9,9,9,9,

